"2466752.19842672","6997398.51800106, 55, BACHMAN STATION, 29821","No_Match"
"2490945.49354397","6979702.90345798, 5, MCKINNEY @ HALL - N - NS, 15415","No_Match"
"2511140.37310164","6998847.18603548, 25, WHITE ROCK STATION, 26652","No_Match"
"2489255.78498113","6971242.60443373, 15, WEST END STATION, 22749","No_Match"
"2447765.31251605","7047261.26899715, 49, NORTH CARROLLTON/FRANKFORD STATION, 29815","No_Match"
"2491822.25622614","6972514.29119481, 17, ST PAUL STATION, 22751","No_Match"
"2474174.98935539","6951143.30440931, 10, HAMPTON STATION, 21210","No_Match"
"2487032.49218364","6974369.40821947, 46, VICTORY STATION, 28264","No_Match"
"2519059.44683039","6954061.01773398, 62, LAKE JUNE STATION, 29833","No_Match"
"2479406.5612413","6953702.34227023, 12, TYLER VERNON STATION, 22730","No_Match"
"2424696.65622564","6983192.25868398, 77, EAST TEX YARD LIMIT, 32834","No_Match"
"2490728.0661573","6971622.23523614, 16, AKARD STATION, 22750","No_Match"
"2540641.83673638","7021381.02876298, 34, DOWNTOWN GARLAND STATION, 26691","No_Match"
"2494422.9190038","6973127.80571581, 70, DEEP ELLUM STATION, 32043","No_Match"
"2485409.74542914","6963697.11690006, 82, OAKENWALD STREETCAR STATION, 32933","No_Match"
"2491590.70485197","6959334.0265449, 3, 8TH & CORINTH STATION, 15262","No_Match"
"2519885.69255322","7059056.58070831, 36, DOWNTOWN PLANO STATION, 26896","No_Match"
"2490369.4802603","6956322.68939173, 7, MORRELL STATION, 16083","No_Match"
"2447832.28416689","7005521.40300198, 73, IRVING CONVENTION CENTER STATION, 32338","No_Match"
"2517025.09295946","7046043.1756328, 32, GALATYN PARK STATION, 26674","No_Match"
"2416691.66140889","7016168.94797981, 75, DFW AIRPORT STATION, 32553","No_Match"
"2449407.28757855","7002518.00579356, 72, LAS COLINAS URBAN CENTER STATION, 32337","No_Match"
"2491001.43601738","6944417.90775515, 22, KIEST STATION, 23390","No_Match"
"2490383.52846055","6979509.33790022, 48, COLE @ BOWEN - S - NS, 28888","No_Match"
"2491339.40122072","6925118.98670739, 87, UNT DALLAS STATION, 33087","No_Match"
"2526624.87854989","6949148.89927739, 63, BUCKNER STATION, 29834","No_Match"
"2519856.84188914","7063640.09122631, 37, PARKER ROAD STATION, 26897","No_Match"
"2469232.49005406","6948674.01997781, 6, WESTMORELAND STATION, 15913","No_Match"
"2483504.00514613","6979780.86721282, 58, MARKET CENTER STATION, 29825","No_Match"
